Minimum metadata model 2026 Material,Minimum metadata model 2026 Event,MMM 2026 Expected Schemaorg Type,MMM 2026 Cardinality,MMM 2026 Values / CV,MMM 2026 Material Required,MMM 2026 Event Required,RDA Description,TeSS Description,Example 1 (Material),Example 2 (Event)
Learning Resource Type,Event type,Text,ONE,"MATERIAL: 
EVENTS: One of: Awards and prizegivings; Meeting and conference; Receptions and networking; Workshops and courses [default]",Required,Required,The predominant type or kind that characterizes the learning resource.,"MATERIAL: The predominant category that describes the kind of learning material, for example, a presentation, video, handout, publication, poster.
EVENT: The category of an event based on its purpose, format, and activities. ","Lecture, Presentation, Training materials",Workshops and courses
Title,Title,Text,ONE,,Required,Required,The human readable name of the resource.,A concise sentence that clearly indicates the topic of the training material. It should provide context and help learners understand what the material will cover.,"HemaFAIR Lecture 16 - Privacy-Preserving Record Linkage – Use Cases, Approaches, and Implementation Scenarios in Rare Diseases",Causality in biomedicine: going beyond associations
URL to Resource,URL to Course,URL,ONE,,Required,Required,"URL that resolves to the learning resource or to a ""landing page"" for the resource that contains important contextual information including the direct resolvable link to the resource, if applicable.","MATERIAL: 
EVENT: Location where the event and its details are advertised on the internet.",https://youtu.be/pnkFAEwIsRU?si=XUliZ19doDVyY7Ql,https://www.ebi.ac.uk/training/events/causality-in-biomedicine-2026
Abstract/Description,Abstract/Description,Text,ONE,,Required,Required,A brief synopsis about or description of the learning resource.,"A short, informative summary that outlines the purpose, scope, key topic and of the training material. It should help the learners and instructors understand the content and relevance of the training before engaging with it.",This HELIOS and HemaFAIR webinar provides an introduction to Privacy-Preserving Record Linkage (PPRL) and its application in rare disease and biomedical research. ...,"This course provides an introduction to causal inference and causal representation learning, offering both theoretical foundations and hands-on training. ..."
,,,,,,,,,,
Author(s),Organizer,"Person
Organization",MANY,"Person: Name, URL (ORCID if exists).
Organization: Name, URL (ROR if exists)",Recommended,Recommended,Name of entity(ies) authoring the resource.,"MATERIAL: Individuals who made substantial intellectual or technical contributions to the conception, design, execution of the training material. This field supports freetext name and ORCID.
EVENT: Institution/Organisation or the individual coordinating to organise the event.
PROPOSED: This field supports freetext name and ROR.","Dieter Hayan 
https://orcid.org/0000-0003-1822-9033",European Bioinformatics Institute (EBI)
Keyword(s),Keyword(s),"DefinedTerm
Text
URL",ONE,Free text keywords are delimited by commas.,Required,Required,Keywords or tags used to describe the resource.,Free text about topics clearly identifying the training material.,"FAIR principles, HemaFAIR, HELIOS, Open Science, Healthcare, Hemoglobinopathies, Rare Diseases, Privacy-Preserving, Record Linkage, Registries",[none]
Date Created,Start Date,"Date
DateTime",ONE,ISO 8601,,Recommended,,,2026-03-30,2026-10-04
Date Modified,End Date,"Date
DateTime","Material: ONE
Event: MANY",ISO 8601,,Required,Version date for the most recently published or broadcast resource.,,2026-06-09,2026-10-09
Contributor(s),Contrutor(s),"Person
Organization",MANY,"Person: Name, URL (ORCID if exists).
Organization: Name, URL (ROR if exists)",Recommended,Recommended,,"MATERIAL: Individuals or entities who provided specific assistance, technical input, data, or materials to the work but may not meet the full criteria for authorship. This field supports freetext name and ORCID.
PROPOSED: This field supports freetext name, ORCID and ROR.","Petros Kountouris,  Sotiroula Chatzimatthaiou
https://orcid.org/0000-0003-2681-4355, https://orcid.org/0000-0003-4418-7965",[several people]
License,,"CreativeWork
URL",ONE,OSI,Required if exists,,"A license document that applies to this content, typically indicated by URL","The most appropriate license that specifies the terms under which your training material and dataset can be used, modified, and distributed. Various options of licenses are available to choose from, for example, Creative Commons Attribution 4.0 International.",Creative Commons Attribution 4.0 International,[none]
DOI,Identifier,"PropertyValue
Text
URL",ONE,URL of DOI or equivalent identifier,Required if exists,Required if exists,,"A unique, persistent alphanumeric string assigned to the training material that provides a permanent link to its location for long-term accessibility and citation tracking.",https://doi.org/10.5281/zenodo.20391927,[none]
Target Group (Audience),Target Group (Audience),Text,MANY,,Recommended,Recommended,Principal users(s) for which the resource was designed.,"The intended group of users or learners for whom the training material is designed, such as researchers, students, postdocs, trainers.","Researchers, Data Scientist, Data stewards, Data managers, Students, Clinicians","[PhD student, post-doctoral researcher, or research scientist currently working with clinical healthcare and/or molecular data]"
Learning Outcome(s),Learning Outcome(s),Text,MANY,It is recommended that you utilize terms from the Blooms taxonomy,Recommended,Recommended,"Descriptions of what knowledge, skills or abilities a learner should acquire on completion of the resource.","Clearly defined, measurable statements describing the specific knowledge, skills a learner should acquire after completing the training course.","-Define Privacy-Preserving Record Linkage (PPRL) and its role in biomedical research.
-Compare different methods for privacy-preserving data linkage.
-Understand the challenges of linking sensitive health data while maintaining privacy and regulatory compliance.
-Identify opportunities for implementing PPRL in rare disease and clinical research settings.
-Appreciate the role of secure data integration in enabling collaborative and federated research initiatives.",...
Expertise Level,Expertise Level,"DefinedTerm
Text
URL",ONE,"Example from ELIXIR: Beginner, Intermediate, Advanced.
Example from DALIA: Novice, Beginner, Competent, Proficient, Expert.
Example from DReSA and DIRECT: Awareness, Working, Practitioner, Expert.",Recommended,Recommended,"Target skill level in the topic being taught; example values include: beginner, intermediate, advanced.","Gradations of expertise or proficiency expected of learners or users, categorised as beginner, intermediate, or advanced.",Beginner,...
,,,,,,,"Designation of the identifier scheme used for the resource URL , e.g., DOI, ARK, Handle.",,,
Access Cost,Access Cost,Text ,ONE,"Value and currency eg ""50 GBP""",Recommended,Recommended,Access cost: Choice stating whether or not there is a fee for use of the resource (CV = Y/N/Maybe with recommendation that further explanation of “Maybe” goes in the Description field for “It depends” or “It changes” explanations).,"EVENT: Select the basis by which costs, if any, are applied. Select from: Free to all; Cost to non-members; Cost incurred by all",[none],[£450.00 (academia) / £975.00 (industry)]
Primary Language,Primary Language,"Language
Text",MANY,IETF BCP 47,Recommended,Recommended,Language in which the resource was originally published or made available.,"MATERIAL: 
EVENT: The language in which the training/seminar/lecture will be delivered. Select from the list of available options.",[en],[en]
,,,,,,,,,,
Scientific Topic(s) / Field(s) of Research,Scientific Topic(s) / Field(s) of Research,Text,MANY,"Varies by instance, eg EDAM (ELIXIR), PaNET (PaNOSC).",,,,"The scientific subject or field that the training material focuses on, for example, bioinformatics, genetics, biodiversity, genomics. In ELIXIR TeSS, this field uses the EDAM ontology. In PaN-Training, this field uses the PaNET ontology.","Data protection, Data mining, Open science, FAIR data, Rare diseases","Public health and epidemiology, Statistics and probability, Genomics, Systems biology"
,,,,,,,,,,
Content Provider,Content Provider,Organization,ONE,"Organization: Name, URL (ROR if exists)",Recommended,Recommended,,"The organisation, institution, or individual responsible for providing, and maintaining the training material.",,European Bioinformatics Institute (EBI)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
External Resources,External Resources,Thing,MANY,"Thing: Name, URL",Recommended,Recommended,,"Include links to tools, policies, standards or databases to associate with this resource. For ELIXIR TeSS, you can search FAIRsharing, the ELIXIR Tools and Data Services Registry, or enter a title and URL.",,
,Timezone,Text,ONE,RFC 822 4-digit time zone [TBC],,Recommended,,EVENT PROPOSED: The timezone [select from list],,
,,,,,,,,,,
,Location [Venue],Text ,ONE,(name and optional street address),,Required,,EVENT: Physical location of the event if its being conducted Face-to-face.,,
,Location [City],Text,ONE,,,Recommended,,EVENT: Physical location of the event if its being conducted Face-to-face.,,
,,,,,,,,,,
,Location [Country],Text,ONE,ISO 3166 2-character,,Recommended,,EVENT: Physical location of the event if its being conducted Face-to-face.,,GB
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Host Institutions,,MANY,,,,,,,
,,,,,,,,,,
,Course Mode,"Text
URL",MANY,Example from ELIXIR: Online; Face-to-face; Hybrid,,Required,,"EVENT: Describing the whether the event will be held Face-to-face, Online or both (hybrid).",,Face-to-face
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
